multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate,minmov,pricescale
20.0,FG208,2022-08-12,,CZCE,2021-08-16,FG,1.0,FG2208.CZC,玻璃208,2022-08-12,1,1
20.0,FG209,2022-09-15,,CZCE,2021-09-15,FG,1.0,FG2209.CZC,玻璃209,2022-09-15,1,1
20.0,FG301,2023-01-13,,CZCE,2022-01-18,FG,1.0,FG2301.CZC,玻璃301,2023-01-13,1,1
20.0,FG210,2022-10-21,,CZCE,2021-10-22,FG,1.0,FG2210.CZC,玻璃210,2022-10-21,1,1
20.0,FG211,2022-11-14,,CZCE,2021-11-15,FG,1.0,FG2211.CZC,玻璃211,2022-11-14,1,1
20.0,FG212,2022-12-14,,CZCE,2021-12-15,FG,1.0,FG2212.CZC,玻璃212,2022-12-14,1,1
20.0,FG0000,2099-01-01,,CZCE,2012-12-03,FG,1.0,FG0000.CZC,玻璃指数,2099-01-01,1,1
1000.0,sc2209,2022-08-31,,INE,2019-09-02,SC,0.1,SC2209.INE,原油2209,2022-09-07,1,10
1000.0,sc2212,2022-11-30,,INE,2019-12-02,SC,0.1,SC2212.INE,原油2212,2022-12-07,1,10
1000.0,sc2206,2022-05-31,,INE,2019-06-03,SC,0.1,SC2206.INE,原油2206,2022-06-08,1,10
1000.0,sc2303,2023-02-28,,INE,2020-03-02,SC,0.1,SC2303.INE,原油2303,2023-03-07,1,10
