time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1542153600,5922.4,6485.8,5678.0,6459.07,69250.17,417150478.28,force_direct,
1542240000,5749.6,5940.0,5432.0,5922.4,49684.4,281942127.83,force_direct,
1542326400,5655.7,5777.5,5530.92,5749.6,18517.14,104666368.21,force_direct,
1542412800,5628.3,5661.1,5569.1,5655.7,7945.26,44584273.75,force_direct,
1542499200,5659.5,5745.6,5620.9,5628.3,9531.44,53930945.98,force_direct,
1542585600,4920.7,5659.5,4855.0,5659.5,74030.77,387294753.82,force_direct,
1542672000,4571.0,5056.27,4303.5,4920.7,116896.48,545927989.89,force_direct,
1542758400,4662.7,4787.3,4412.3,4571.0,44267.46,203826727.05,force_direct,
1542844800,4369.6,4723.7,4342.1,4662.7,28764.81,130579599.46,force_direct,
1542931200,4422.7,4495.0,4210.0,4369.6,36053.6,157466977.66,force_direct,
1543017600,3929.9,4529.0,3819.4,4422.7,51011.52,211732113.57,force_direct,
1543104000,4089.1,4233.2,3657.6,3929.9,81967.08,321001983.62,force_direct,
1543190400,3864.1,4207.1,3695.5,4089.1,63570.29,249616173.56,force_direct,
1543276800,3882.7,3959.41,3684.1,3864.1,46223.35,176640255.63,force_direct,
1543363200,4305.0,4447.6,3882.7,3882.7,65206.7,274474031.15,force_direct,
1543449600,4321.9,4488.0,4167.2,4305.0,41105.34,177210733.13,force_direct,
1543536000,4039.5,4368.8,3950.0,4321.9,42429.79,175006992.02,force_direct,
1543622400,4241.3,4340.0,3964.5,4039.5,27455.99,114784731.92,force_direct,
1543708800,4173.0,4369.8,4113.0,4241.3,24443.45,102941696.07,force_direct,
1543795200,3901.2,4189.8,3830.1,4173.0,36873.07,146870203.29,force_direct,
1543881600,3981.9,4135.9,3785.5,3901.2,33673.25,133977730.72,force_direct,
1543968000,3772.9,4000.77,3750.0,3981.9,28488.35,109684430.8,force_direct,
1544054400,3531.0,3922.7,3503.0,3772.9,58263.35,218131793.82,force_direct,
1544140800,3460.0,3630.0,3277.6,3531.0,73967.23,254063711.27,force_direct,
1544227200,3506.0,3800.1,3316.1,3460.0,38986.5,135760289.62,force_direct,
1544313600,3642.3,3789.0,3465.4,3506.0,25059.1,90374332.83,force_direct,
1544400000,3524.8,3709.7,3475.8,3642.3,22589.32,80447395.98,force_direct,
1544486400,3435.28,3551.5,3381.8,3524.8,24043.58,83009693.7,force_direct,
1544572800,3535.6,3617.4,3415.0,3435.28,21092.38,74265794.63,force_direct,
1544659200,3354.3,3547.1,3317.0,3535.6,22222.74,76222373.04,force_direct,
1544745600,3281.7,3395.2,3224.0,3354.3,28649.21,94808360.96,force_direct,
1544832000,3283.4,3324.2,3215.2,3281.7,17598.48,57480339.2,force_direct,
1544918400,3301.5,3383.0,3276.2,3283.4,19078.98,63634999.01,force_direct,
1545004800,3625.0,3744.8,3280.0,3301.5,35554.29,125040125.64,force_direct,
1545091200,3780.8,3799.9,3546.9,3625.0,29454.2,107464739.54,force_direct,
1545177600,3810.0,4043.0,3756.0,3780.8,55344.16,214861452.59,force_direct,
1545264000,4214.5,4299.0,3780.1,3810.0,65842.63,269934530.53,force_direct,
1545350400,3976.0,4300.0,3902.0,4214.5,43531.13,178129634.02,force_direct,
1545436800,4135.0,4166.0,3919.3,3976.0,19514.56,78429538.48,force_direct,
1545523200,4071.7,4216.0,4033.0,4135.0,24479.06,100981992.7,force_direct,
1545609600,4140.7,4384.0,4069.0,4071.7,37974.75,161585583.6,force_direct,
1545696000,3909.7,4155.0,3812.1,4140.7,33702.25,131834092.88,force_direct,
1545782400,3929.9,3990.0,3812.1,3909.7,19137.83,74545136.03,force_direct,
1545868800,3712.0,3968.8,3686.0,3929.9,23579.01,89482454.21,force_direct,
1545955200,4036.7,4095.0,3696.3,3712.0,26911.56,105153716.07,force_direct,
1546041600,3894.0,4099.7,3859.3,4036.7,18708.83,74977695.92,force_direct,
1546128000,3977.3,4003.8,3838.9,3894.0,17718.49,69568435.08,force_direct,
1546214400,3830.5,3986.9,3771.0,3977.3,15785.48,61367948.79,force_direct,
1546300800,3963.1,3987.0,3788.1,3830.5,13849.81,53579422.07,force_direct,
1546387200,4048.8,4083.47,3917.9,3963.1,19407.59,77342236.3,force_direct,
1546473600,3924.3,4056.64,3875.1,4048.8,10533.65,41795853.68,force_direct,
1546560000,3954.9,3986.0,3850.1,3924.3,13235.54,51836678.43,force_direct,
1546646400,3911.9,4014.9,3901.0,3954.9,14876.56,58984576.33,force_direct,
1546732800,4168.4,4218.0,3887.5,3911.9,25169.48,102409753.45,force_direct,
1546819200,4113.9,4197.0,4075.0,4168.4,8352.53,34605706.31,force_direct,
1546905600,4100.0,4215.8,4056.0,4113.9,18852.55,77758500.71,force_direct,
1546992000,4083.3,4168.9,4010.0,4100.0,20691.48,84802006.26,force_direct,
1547078400,3712.8,4143.3,3687.2,4083.3,35103.69,136113608.59,force_direct,
1547164800,3714.8,3777.8,3666.6,3712.8,13151.74,48926265.66,force_direct,
1547251200,3702.0,3734.0,3666.6,3714.8,9301.52,34432312.84,force_direct,
1547337600,3591.0,3729.0,3570.0,3702.0,12629.28,45920696.62,force_direct,
1547424000,3749.3,3799.4,3580.0,3591.0,14899.55,55104849.5,force_direct,
1547510400,3654.3,3780.87,3623.1,3749.3,13420.21,49776698.07,force_direct,
1547596800,3673.6,3759.89,3642.36,3654.3,13291.55,48920538.47,force_direct,
1547683200,3722.5,3725.0,3606.2,3673.6,10891.87,40043474.48,force_direct,
1547769600,3675.7,3723.9,3652.39,3722.5,5710.9,21039738.82,force_direct,
1547856000,3762.3,3882.0,3673.9,3675.7,13392.97,50709931.14,force_direct,
1547942400,3586.1,3796.9,3543.0,3762.3,20650.76,75063374.71,force_direct,
1548028800,3579.4,3620.1,3548.3,3586.1,10849.99,38848377.64,force_direct,
1548115200,3639.1,3682.14,3462.0,3579.4,18107.54,65094295.56,force_direct,
1548201600,3622.3,3677.0,3591.2,3639.1,7991.31,29044038.95,force_direct,
1548288000,3652.71,3671.4,3589.45,3622.3,7870.34,28549103.38,force_direct,
1548374400,3628.9,3663.5,3580.0,3652.71,7391.71,26763119.17,force_direct,
1548460800,3631.2,3750.0,3622.9,3628.9,13010.54,47786631.06,force_direct,
1548547200,3597.1,3645.7,3541.0,3631.2,11454.77,41257349.1,force_direct,
1548633600,3501.89,3597.9,3445.3,3597.1,17061.48,59797176.02,force_direct,
1548720000,3477.9,3517.5,3422.0,3501.89,10487.63,36374218.91,force_direct,
1548806400,3529.6,3550.0,3451.2,3477.9,12602.31,44194006.36,force_direct,
1548892800,3503.8,3574.81,3482.0,3529.6,8602.55,30263198.57,force_direct,
1548979200,3534.77,3559.0,3460.0,3503.8,10159.47,35648609.07,force_direct,
1549065600,3564.2,3581.0,3498.76,3534.77,10892.57,38406942.37,force_direct,
1549152000,3501.74,3566.8,3470.1,3564.2,7892.65,27696311.09,force_direct,
1549238400,3490.47,3522.7,3475.3,3501.74,5239.05,18321865.76,force_direct,
1549324800,3513.0,3517.5,3475.1,3490.47,4607.06,16125790.32,force_direct,
