period,instrument
60m,SC2406.INE
60m,SC2409.INE
60m,SC2207.INE
60m,SC2208.INE
60m,SC2210.INE
60m,SC2302.INE
60m,SC2211.INE
60m,SC2412.INE
60m,SC2301.INE
60m,SC0000.INE
60m,P2204.DCE
60m,P2206.DCE
60m,P2205.DCE
60m,P2207.DCE
60m,P2208.DCE
60m,P2209.DCE
60m,P2301.DCE
60m,P2210.DCE
60m,P2211.DCE
60m,P2212.DCE
60m,P0000.DCE
60m,RB2205.SHF
60m,RB2204.SHF
60m,RB2206.SHF
60m,RB2207.SHF
60m,RB2208.SHF
60m,RB2209.SHF
60m,RB2210.SHF
60m,RB2212.SHF
60m,RB2301.SHF
60m,RB2211.SHF
60m,RB0000.SHF
60m,J2204.DCE
60m,J2206.DCE
60m,J2205.DCE
60m,J2207.DCE
60m,J2208.DCE
60m,J2209.DCE
60m,J2301.DCE
60m,J2210.DCE
60m,J2211.DCE
60m,J2212.DCE
60m,J0000.DCE
60m,SM2204.CZC
60m,SM2206.CZC
60m,SM2205.CZC
60m,SM2207.CZC
60m,SM2208.CZC
60m,SM2209.CZC
60m,SM2301.CZC
60m,SM2210.CZC
60m,SM2211.CZC
60m,SM2212.CZC
60m,SM0000.CZC
60m,SA2204.CZC
60m,SA2206.CZC
60m,SA2205.CZC
60m,SA2207.CZC
60m,SA2208.CZC
60m,SA2209.CZC
60m,SA2301.CZC
60m,SA2210.CZC
60m,SA2211.CZC
60m,SA2212.CZC
60m,SA0000.CZC
60m,HC2205.SHF
60m,HC2204.SHF
60m,HC2206.SHF
60m,HC2207.SHF
60m,HC2208.SHF
60m,HC2209.SHF
60m,HC2210.SHF
60m,HC2212.SHF
60m,HC2301.SHF
60m,HC2211.SHF
60m,HC0000.SHF
60m,V2204.DCE
60m,V2206.DCE
60m,V2205.DCE
60m,V2207.DCE
60m,V2208.DCE
60m,V2209.DCE
60m,V2301.DCE
60m,V2210.DCE
60m,V2211.DCE
60m,V2212.DCE
60m,V0000.DCE
60m,ME0000.CZC
60m,CS2205.DCE
60m,CS2207.DCE
60m,CS2209.DCE
60m,CS2301.DCE
60m,CS2211.DCE
60m,CS0000.DCE
60m,L2204.DCE
60m,L2206.DCE
60m,L2205.DCE
60m,L2207.DCE
60m,L2208.DCE
60m,L2209.DCE
60m,L2301.DCE
60m,L2210.DCE
60m,L2211.DCE
60m,L2212.DCE
60m,L0000.DCE
60m,A2205.DCE
60m,A2207.DCE
60m,A2209.DCE
60m,A2301.DCE
60m,A2211.DCE
60m,A0000.DCE
60m,UR2204.CZC
60m,UR2206.CZC
60m,UR2205.CZC
60m,UR2207.CZC
60m,UR2208.CZC
60m,UR2209.CZC
60m,UR2301.CZC
60m,UR2210.CZC
60m,UR2211.CZC
60m,UR2212.CZC
60m,UR0000.CZC
60m,RM2205.CZC
60m,RM2207.CZC
60m,RM2208.CZC
60m,RM2209.CZC
60m,RM2301.CZC
60m,RM2211.CZC
60m,RM0000.CZC
